sentence,id_file,file_name,sintetic,tipo,,
"The system shall provide best practice, configurable workflow templates (e.g., allow for configuration and automation of the common types of events and processes to be performed in the land development lifecycle (i.e. application intake and processing, inspections, plan reviews, etc.)).",5,Loundon Country Land Management Information System,No,FR,,
The system will allow for the set up of process workflows to include end-to-end process steps and milestones.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide data validation rules to ensure data validity at the time of entry (e.g., prevent an alpha character to be entered into a field that is configured to have only numeric values entered by the user).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide the ability to configure custom workflows including but not limited to: by type of application, permit, document, plan, inspection, etc.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to support workflow task triggers (scheduled, time-based, condition based, manual, etc.).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to support workflow task routing (scheduled, time-based, condition based, manual, etc.).",5,Loundon Country Land Management Information System,No,FR,,
"The system will display all completed workflow tasks and related workflow data (i.e. timestamp, username) in the System to provide a comprehensive view of activity taken on a record.",5,Loundon Country Land Management Information System,No,FR,,
"The system will display all uncompleted workflow tasks and related workflow data (i.e. due date, assigned user) in the System to provide a comprehensive view of pending activity that will occur on a record for processing according to the associated workflow.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall support reporting on workflow-related transactions (i.e. transaction volume, response time, amount of time a workflow step was in the user's control, operational reporting, due dates by date range, past-due).",5,Loundon Country Land Management Information System,No,FR,,
The System shall allow clocks for a workflow task to stop and start according to business rules.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow authorized users (e.g., supervisor) to override and modify any workflow task progression in the system at any time (e.g. if a Plan Reviewer selects Approved when the plans should have been disapproved, authorized personnel such as a Supervisor should be able to change the status of the Plan Review or any final decision, and move an application backwards in the workflow if it was advanced in error).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall maintain an audit trail of workflow overrides, record type changes, business rule modifications, and any other activity that is outside of standard practices.",5,Loundon Country Land Management Information System,No,FR,,
"The system should allow an authorized user to modify or otherwise correct the record type (or other pertinent data associated with a record that is impacting its workflow processing rules) to provide the correct information, including handling all subordinate/secondary workflows and data changes that result from the original activity(e.g., if a plan was initially categorized under the wrong plan type).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow authorized users (e.g., supervisor) to manually override existing holds on applications according to pre-defined business rules. All subordinate/secondary workflows or data changes that result from the original activity must be handled.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow an authorized user (e.g., supervisor) to edit the workflow history of a record (e.g., to correct errors) and handle all subordinate/secondary workflows and data changes that result from the original activity.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide functionality to define specific performance parameters for all workflow tasks by application type, inspection type, plan review type, etc., provided by the Agency.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow an authorized business user (e.g., non-IT personnel) the ability to add and/or change business rules in the system easily through the user interface (according to user roles/permissions) and all subordinate/secondary workflows and data changes that result from the original activity must be handled.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall retain a revision history for business rule and workflow changes in the system including author, type, date and time of change(s).",5,Loundon Country Land Management Information System,No,FR,,
The system will have the ability to set an effective date for a business rule or workflow change.,5,Loundon Country Land Management Information System,No,FR,,
The system will have the ability to set an expiration date for a business rule or workflow change.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow multiple workflows, at the same time, for an individual process and allow users to manually override a workflow (ie. To allow for grandfathering scenarios or implementation of new policies, where certain applications/permits need to follow a new business rule and others follow an existing process.).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to associate workflow tasks to a role in the system (e.g., workflow task is always assigned to a Site Plan Reviewer) according to business rules configurable in the system.",5,Loundon Country Land Management Information System,No,FR,,
The system shall have the ability to prevent or allow workflow task execution by a user according to the role-based security assigned to the user in the system.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall support individual user account work queue assignment (e.g., workflow task is assigned to one individual).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall support department-based work group assignment (e.g., workflow task is assigned to the Zoning Administration Department).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall support the automatic assignment of a workflow task to one or more users according to business rules and other factors (i.e. employee skill sets, availability, location/districts).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall support identification of reviewing agencies by pinpointing the affected property on a map and identifying responsible authorities (i.e., planning districts, zoning, adjoining jurisdiction, flood zone, supervisor district, etc.) and support automatic assignment of the task to those users per business rules.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow for multiple workflows to be configured in the system that differ across individual business areas according to their requirements (e.g., workflow assignment rules differ by department).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow authorized users to claim an active workflow task (either assigned or unassigned) for themselves and execute it immediately (e.g., does not require an assignment or reassignment step).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall support multiple tiers of assignment of reviews (e.g., an application is first assigned to one individual who then forwards the application to others in that reviewing group to review).",5,Loundon Country Land Management Information System,No,FR,,
The system shall support manual and automated reassignment of a workflow task from one user to another according to business rules.,5,Loundon Country Land Management Information System,No,FR,,
The system shall support the manual or automated bulk reassignment of workflow tasks from one user to another according to business rules.,5,Loundon Country Land Management Information System,No,FR,,
The system shall be able to capture the reason for reassignment,5,Loundon Country Land Management Information System,No,FR,,
"The system shall enforce a workflow routing list definition that supports if...then"" logic.""",5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow documents to be sent electronically according to defined routing lists and business rules as part of a workflow task, or a communication / notification.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide the ability to designate a secondary approver who is authorized to access the queue and complete a task on behalf of a primary approver when the primary reviewer is unavailable (e.g., Supervisor's designee is authorized to approve an application).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide the ability to incorporate checklists"" into the workflow process based on the transaction type and/or record type (e.g. plan review).""",5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide the ability to configure checklists at the role level (e.g., each reviewer may have a distinct checklist per review task).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow a reviewer to have their own workflow task with their own due date and timeline, which may be different from other reviewers' due date and checklist assigned to the same task (e.g., Plan Reviewer 1's due date is in 5 days, #2 is allowed 10 days per their agency's review target).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide the ability to perform automatic approval when transactions meet defined criteria (e.g., some permits can be issued automatically via the online portal once payment is made).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to maintain, query and display a list of tasks that have been assigned to a given user in the system (e.g., Task list).",5,Loundon Country Land Management Information System,No,FR,,
The system shall provide the ability for a user to view and/or quickly access the last work list item(s) the user was working on.,5,Loundon Country Land Management Information System,No,FR,,
The system shall allow the ad-hoc sorting and filtering of their task list.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall support configurable workflow task due dates based upon either calendar OR business days (e.g., task is always due 10 days from task assignment, response required within 2 business days).",5,Loundon Country Land Management Information System,No,FR,,
The system shall support configurable workflow task durations.,5,Loundon Country Land Management Information System,No,FR,,
The system shall support workflow task assignment rules that follow First In First Out (FIFO) approach.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow a workflow task to be prioritized over other tasks in the work queue (e.g., Supervisor flags a workflow task to be addressed first in a Plan Reviewer's queue).",5,Loundon Country Land Management Information System,No,FR,,
The system shall allow a workflow task to be expedited and the related due dates updated with the accelerated timeline.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall allow application packages to be expedited by the Supervisor or System (according to business rules for that record type or other trigger) so that it is flagged, is indicated by highlighting or appears first in the Reviewerâs queue, for expedited processing.",5,Loundon Country Land Management Information System,No,FR,,
The system shall capture planned vacations or out of office information for staff to help inform assignments.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall support workflow tasks that do not need to be assigned (e.g., if a user data-enters an application he or she should not have to assign it to themselves to be able to process it).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall support status changes for a record that is driven by the change in status of its underlying workflow tasks (e.g., overall record status updates to Under Completeness Review"" once the Completeness Review task is assigned to a staff member).""",5,Loundon Country Land Management Information System,No,FR,,
The system shall support status changes for an individual workflow task.,5,Loundon Country Land Management Information System,No,FR,,
The system shall support the automatic update of a status change for a workflow task.,5,Loundon Country Land Management Information System,No,FR,,
The system shall support the manual update of a status change for a workflow task.,5,Loundon Country Land Management Information System,No,FR,,
"The system will support workflow associated with placing a hold on the record, including preventing certain types of tasks to be executed in the system if a hold is on a particular record (e.g., cannot issue a Certificate of Occupancy if there is a hold related to an open code enforcement case).",5,Loundon Country Land Management Information System,No,FR,,
"The system will enforce business rules associated with a hold type such as the conditions for triggering or removing a hold, and the associated result(s) of applying the hold in the system.",5,Loundon Country Land Management Information System,No,FR,,
"The system will enforce user permissions associated with a hold type (e.g., only certain types of users may apply and remove holds).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to manually place (or remove) a hold condition on the record (application, project, customer, location) that prevents a record from advancing in the workflow until the related issue is resolved.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to automatically place (or remove) a hold condition on the record (application, project, customer, location) according to configured business rules in the system.",5,Loundon Country Land Management Information System,No,FR,,
The system shall support multiple hold types with varying levels of severity and associated business rules.,5,Loundon Country Land Management Information System,No,FR,,
"The system should support hold types that may be related to preventing the issuance of a permit until all plan reviews have been logged as approved in the System (e.g., only affects that particular application).",5,Loundon Country Land Management Information System,No,FR,,
The system should support hold types that may be placed on the Applicant record that may affect all applications associated with that Applicant.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the capability to apply multiple holds at one time (e.g., put a hold on a contractor person record and all the projects associated with the contractor).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to support a scenario where there are multiple items/issues that need to be addressed prior to release of the hold and they should be individualized holds, which can be removed individually and only when the last item is completed will the hold be able to be lifted.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall provide a structured template to capture conditions of the hold, such as reason(s) for the hold, instructions for the Customer (and Staff) on how and when to remove the hold (including any documents/information that needs to be provided to release the hold), and any internal notes or comments.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall be able to populate the structured template to capture conditions of the hold with information already in the system, such as the approved proffer language associated with the hold.",5,Loundon Country Land Management Information System,No,FR,,
"The system shall have the ability to publish any hold information to the customer portal, as well as notify the customer (and any other designated contacts) of the hold based on business rules.",5,Loundon Country Land Management Information System,No,FR,,
The system shall be able to notify designated Staff Member(s) associated with the hold that action in the System has taken place on the affected record in order for them to manually remove the hold.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall remove any workflow restrictions from the Customerâs account and/or related location, property (address, Parcel Pin), project, etc. once the hold is lifted.",5,Loundon Country Land Management Information System,No,FR,,
The system will allow review clocks to be stopped when a hold is placed and allow review clocks to be restarted when the hold is removed.,5,Loundon Country Land Management Information System,No,FR,,
"The system shall support configurable notifications (email, text message, etc.) that are triggered at various stages of workflow or other conditions according to business rules (e.g., email generated to the Customer when their application is approved).",5,Loundon Country Land Management Information System,No,FR,,
"The system shall support configurable alerts (e.g., visual indicators displayed in the system) that are triggered according to business rules (e.g., record turns red on the screen to indicate a workflow task's duration has exceeded a predefined threshold).",5,Loundon Country Land Management Information System,No,FR,,
