sentence,tipo
The system shall provide best practice configurable workflow templates allow for configuration and automation of the common types of events and processes to be performed in the land development lifecycle application intake and processing inspections plan reviews etc.,fr
The system will allow for the set up of process workflows to include endtoend process steps and milestones.,fr
The system shall provide data validation rules to ensure data validity at the time of entry prevent an alpha character to be entered into a field that is configured to have only numeric values entered by the user.,fr
The system shall provide the ability to configure custom workflows including but not limited to by type of application permit document plan inspection etc.,fr
The system shall have the ability to support workflow task triggers scheduled timebased condition based manual etc.,fr
The system shall have the ability to support workflow task routing scheduled timebased condition based manual etc.,fr
The system will display all completed workflow tasks and related workflow data timestamp username in the System to provide a comprehensive view of activity taken on a record.,fr
The system will display all uncompleted workflow tasks and related workflow data due date assigned user in the System to provide a comprehensive view of pending activity that will occur on a record for processing according to the associated workflow.,fr
The system shall support reporting on workflowrelated transactions transaction volume response time amount of time a workflow step was in the users control operational reporting due dates by date range pastdue.,fr
The System shall allow clocks for a workflow task to stop and start according to business rules.,fr
The system shall allow authorized users supervisor to override and modify any workflow task progression in the system at any time if a Plan Reviewer selects Approved when the plans should have been disapproved authorized personnel such as a Supervisor should be able to change the status of the Plan Review or any final decision and move an application backwards in the workflow if it was advanced in error.,fr
The system shall maintain an audit trail of workflow overrides record type changes business rule modifications and any other activity that is outside of standard practices.,fr
The system should allow an authorized user to modify or otherwise correct the record type or other pertinent data associated with a record that is impacting its workflow processing rules to provide the correct information including handling all subordinatesecondary workflows and data changes that result from the original activityif a plan was initially categorized under the wrong plan type.,fr
The system shall allow authorized users supervisor to manually override existing holds on applications according to predefined business rules,fr
All subordinatesecondary workflows or data changes that result from the original activity must be handled.,fr
The system shall allow an authorized user supervisor to edit the workflow history of a record to correct errors and handle all subordinatesecondary workflows and data changes that result from the original activity.,fr
The system shall provide functionality to define specific performance parameters for all workflow tasks by application type inspection type plan review type etc. provided by the Agency.,fr
The system shall allow an authorized business user nonIT personnel the ability to add andor change business rules in the system easily through the user interface according to user rolespermissions and all subordinatesecondary workflows and data changes that result from the original activity must be handled.,fr
The system shall retain a revision history for business rule and workflow changes in the system including author type date and time of changes.,fr
The system will have the ability to set an effective date for a business rule or workflow change.,fr
The system will have the ability to set an expiration date for a business rule or workflow change.,fr
The system shall allow multiple workflows at the same time for an individual process and allow users to manually override a workflow ie,fr
